num,nom,annee_naissance,annee_decès,profession
0003561,Beauregard Ludger,,,
159952,Maget Marcel ,1909.0,1994.0,sociologue
61046,Nathan Michel ,1943.0,1989.0,professeur
585799,Marchand Jacqueline ,1910.0,1985.0,professeur
82819,Santesmases Maria Jesus,,,autre
82820,Munoz Emilio,,,
72042,Duval Mathias ,1844.0,1907.0,anthropologue
166793,Vahanian Gabriel ,1927.0,2012.0,théologue
0003671,Lamarche Gustave,,,
0003681,Pozier Bernard,,,
0003691,Belzile Gisèle,,,
264642,Djellali Abderrazak,,,
165425,Domecq Jean-Pierre ,1958.0,,economiste
0003741,Urbano Henrique,,,
254165,Froidevaux Henri ,1863.0,1954.0,géographe
32976,Zimmermann Maurice ,1869.0,1950.0,géographe
1709,Grelou Georges,,,
266377,Pédelaborde Pierre ,1910.0,1992.0,géographe
267942,Tricart Jean ,1920.0,2003.0,géographe
265217,Beaujeu-Garnier Jacqueline ,1917.0,1995.0,géographe
263934,Bomer Bernard ,1926.0,1997.0,
25064,Ikonicoff Moïses,,,
47757,Michel Marie-Christine,,,
35961,Korn Pascale,,,
48002,Stark Hans,,,chercheur
265867,Rey Violette ,1943.0,,professeur
241494,Picard Alice,,,
79937,Gachon Lucien ,1894.0,1984.0,géographe
247405,Juillard Étienne ,1914.0,2006.0,géographe
248653,Lebeau René ,1914.0,1999.0,géographe
1615,Chartier Marcel,,,
166648,Monteil Pierre-Olivier,,,philosophe
46411,Schütze Walter,,,autre
47571,Coutan-Bégarie Hervé,,,
35118,Schaub Marianne,,,
258068,Retaillé Denis ,1953.0,,géographe
396683,Jaeger Marie-Claire,,,
404050,Latrache Rim ,1974.0,,
62131,Tomiche Nada ,1923.0,,professeur
249835,Domenach Jean-Luc ,1945.0,,chercheur
0004261,Sow Fatou,,,
257686,Caron Jean-Claude ,1955.0,,professeur
274943,Febvre Lucien ,1878.0,1956.0,historien
234685,Auzias Claire ,1951.0,,historien
275559,Cartier Michel ,1934.0,,directeur
68612,Broccolichi Sylvain,,,sociologue
855198,Fisher Herbert ,1865.0,1940.0,
143376,Wateff S.,,,
829704,Louf E.,,,
27823,Kastoryano Riva ,1952.0,,sociologue
838961,Swift Jonathan,,,
175347,Chantre Ernest ,1843.0,1924.0,fondateur
0004421,Gérard Étienne,,,
0004422,Cornu Jean-François,,,
59771,Delattre A.,,,
226008,Sardon Jean-Paul,,,autre
51235,Bianchi Bruna,,,
44470,Lemerle Frédérique,,,autre
82632,Morau Henry,,,
403852,Diminescu Dana,,,sociologue
