num,nom,annee_naissance,annee_decès,bio
8407,Véron Jacques ,1950.0,,"Démographe. - Chargé de recherche à l'INED, Institut national d'études démographiques (en 1989) (Source DataBNF)"
47182,Chesnais Jean-Claude ,1948.0,,"Expert démographe. - Directeur de recherches à l'Institut d'études démographiques, Paris (en 2000). - Maïtre de conférences à l'École polytechnique et à l'École nationale d'administration (en 2000). - Docteur en démographie et docteur ès sciences économiques (Source DataBNF)"
8708,Duroux Rose,,,
8710,Filhon Alexandra,,,"Docteur en sociologie. - Chargée d'étude à l'INED, Institut national d'études démographiques, membre du laboratoire Printemps-CNRS à l'Université Versailles-Saint-Quentin-en-Yvelines (en 2005) (Source DataBNF)"
262036,Imbert Christophe,,,
224490,Kateb Kamel ,1946.0,,
8707,Kesztenbaum Lionel ,1978.0,,Spécialiste en démographie historique. - Chargé de recherche à l'Institut national d'études démographiques (en 2015) (Source DataBNF)
39511,Bardolph Jacqueline ,,1999.0,Enseigne à l'Université de Nice (en 1989) (Source DataBNF)
155063,Ragon Michel ,1924.0,2020.0,"Romancier, poète et essayiste, critique et historien de l'art et de l'architecture. - Docteur ès lettres (Paris, 1975), professeur de l'École nationale supérieure des arts décoratifs (Source DataBNF)"
654727,Vidal Pierre Paul,,,"Neurophysiologiste. - En poste au Laboratoire de physiologie neurosensorielle, CNRS, Paris (en 1992)
Écrit aussi en anglais (Source DataBNF)"
654729,Droulez Jacques,,,
250056,Gurgand Marc,,,
244662,Chalaux Elsa ,,,Diplômée de l'Institut national des langues et civilisations orientales (INALCO) et de l'école superieure d'interprètes et de traducteurs (ESIT (Source DataBNF)
73491,Meusburger Peter ,1942.0,,
0001341,Petit Jacques-Guy,,,
166726,Quéré France ,1936.0,1995.0,"Écrivain, théologienne protestante, exégète et historienne. - Membre du Haut conseil de la population et de la famille (Source DataBNF)"
822948,Le Glaunec Jean-Pierre ,1977.0,,
273261,Caire Guy,,,"Diplômé de l'Institut d'études politiques, docteur en sciences économiques. - Professeur de sciences économiques à l'Université de Paris X-Nanterre, directeur du centre de recherches en sciences sociales du travail, Université de Paris XI (en 1994) (Source DataBNF)"
228587,Minces Juliette ,1937.0,,"Reporter à ""Révolution africaine"" (1963-1964) , sociologue (Source DataBNF)"
29538,Rodinson Maxime ,1915.0,2004.0,"Orientaliste. - Directeur d'études à l'Ecole pratique des hautes études, section des sciences historiques et philologiques, Paris (1955-1998) (Source DataBNF)"
849011,Franck Georg,,,
173822,La Frenière Peter,,,
173823,Ménard Jean-Marc,,,
71892,Pozzi Samuel ,1846.0,1918.0,"Chirurgien. - Professeur de clinique gynécologique à la Faculté de médecine de Paris. - Membre de l'Académie de médecine (en 1896). - Sénateur de Dordogne (élu en 1898). - Poète. - Numismate. - Prénoms complets : Jean, Samuel (Source DataBNF)"
403407,Forteaux Michel,,,
0001461,Parant Marc,,,
724712,Gay François J. ,1922.0,2019.0,Chargé d'enseignement de géographie à l'UER de lettres de Rouen (en 1973) (Source DataBNF)
395042,Acselrad Henri,,,"Professeur d'urbanisme et d'aménagement du territoire, Federal university of Rio de Janeiro (en 2007) (Source DataBNF)"
395043,Mello Cecilia,,,
395066,Vaucher Philippe,,,
247976,Veyne Paul ,1930.0,,"Historien. - Professeur au Collège de France, titulaire de la chaire d'histoire de Rome (depuis 1976) (Source DataBNF)"
177537,Song Wu,,,
177492,Sanjuan Thierry ,1966.0,,"Docteur en géographie (Paris 4, 1993). - Maître de conférences à l'Université Paris I (en 1997) (en 2007) (Source DataBNF)"
0001513,Zhengming,,,
283718,Poujol Jacques,,,
0001541,PICHÉ Victor,,,
587018,Bojkó Béla,,,
75598,Delanoë Guirec,,,Économiste du développement (Source DataBNF)
247899,Kastler A. ,1902.0,1984.0,"Physicien. - Spécialiste de l'électronique quantique et de l'optique physique. - Membre de l'Institut, Académie des sciences (1964) et prix Nobel de physique (1966). - Ancien élève de l'École normale supérieure (1921). - Docteur ès sciences physiques (Paris, 1935) (Source DataBNF)"
0001601,Montes Jérôme,,,
259931,Barou Jacques,,,"Anthropologue. - Chargé de recherches au CNRS, Centre national de la recherche scientifique (en 1992) (Source DataBNF)"
204454,Bourg Charles,,,
268472,Faour Ali,,,
35248,Tsur Jacob ,1906.0,1990.0,"Écrit aussi en français
Homme politique (Source DataBNF)"
5711,Becker Jörg,,,
5799,Mely Josie,,,Interprète de conférence et traductrice (Source DataBNF)
5800,Weinzorn Catherine,,,
26186,Saint-Paul Raymond,,,
226132,Calmont André,,,"Maître de conférence en géographie, membre de GEODE Caraïbe, université des Antilles et de la Guyane (en 2001) (Source DataBNF)"
72429,Manouvrier Léonce ,1850.0,1927.0,Anthropologue. - Professeur d'anthropologie à l'Ecole d'anthropologie de Paris (Source DataBNF)
403665,Diop Djibril ,1970.0,,"Docteur en géographie (Paris 1, 2004), diplômé de l'École des hautes études en relations internationales de Paris (Source DataBNF)"
0001731,Maïla Joseph,,,
206068,Pereira Ramos Maria,,,
60348,Ouedraogo Dieudonné ,1947.0,,"Géographe, directeur du Centre d'études et de recherche sur la population pour le développement (CERPOD) (en 1995) (Source DataBNF)"
25895,Monjon Stéphanie,,,Chercheur à l'Université de Paris I (en 1999) (Source DataBNF)
657267,Bernoussi Nadia,,,
704822,Benkeroum Mohamed,,,
281211,Dezalay Yves ,1945.0,,"Écrit aussi en anglais
Sociologue. - A été directeur de recherche au CNRS (Source DataBNF)"
71519,Adamets Sergueï,,,Chercheur à l'Institut national d'études démographiques de Paris (en 2003) (Source DataBNF)
276612,Calvo Thomas ,1944.0,,"Écrit aussi en espagnol
Docteur ès-lettres et sciences humaines (Paris, École des hautes études en sciences sociales, France, 1987). - Historien. - Professeur à l'Université de Pau, France (en 1989). - Professeur émérite : Université Paris-Ouest Nanterre-La Défense, France, et chercheur : Colegio de Michoacán, Mexique (en 2014) (Source DataBNF)"
586037,Pelé Gérard,,,"Docteur en épistémologie, habilité à diriger des recherches en art et sciences de l'art. - Maître de conférences à l'École nationale supérieure Louis Lumière (en 2002) puis chercheur à l'Institut d'esthétique des arts et technologies (IDEAT/UMR 8153 CNRS/Université Paris 1) (en 2007) (Source DataBNF)"
264843,Ferrier Jean-Paul,,,
264844,Rinaudo Yves,,,Professeur d'histoire contemporaine à l'université d'Avignon (en 1992) (Source DataBNF)
365317,Schnerb Robert,,,
0001891,Laplante Julie,,,
0001892,Sacrini Marcus,,,
0001901,Villeneuve Johanne,,,
0001941,Labrecque Marie France,,,
0001951,Decaluwe Bernard,,,
245741,Brunet Roger ,1931.0,,"Géographe. - Directeur de recherche au CNRS, GIP 0001, Réseau d'étude des changements dans les localisations et les unités spatiales, RECLUS, à Montpellier (en 1988) (Source DataBNF)"
3067,MINKOV Minko,,,
24665,Charpin Françoise,,,
4920,Cailar A.,,,
137365,Papanicolaou-Paléologue E. ,1958.0,,
30564,Centlivres Pierre,,,Ethnologue. - Professeur honoraire de l'Université de Neuchâtel. Directeur de l'Institut d'ethnologie de l'Université de Neuchâtel (depuis 1974). Fondateur et directeur du Centre de recherches ethnologiques de l'Université de Neuchâtel (1974-1998) (Source DataBNF)
51001,LE GARREC Jean ,1929.0,,Député du Nord de 1981 à 1993 et de 1997 à 2007 (Source DataBNF)
60522,Courade Georges ,1942.0,,Chercheur à l'ORSTOM (en 1991) (Source DataBNF)
408737,Sztanke Michaël,,,
281307,Bancaud Alain,,,Chercheur au CNRS (en 1993). - Juriste et sociologue. - Rattaché à l'Institut d'histoire du temps présent (en 2002) (Source DataBNF)
154874,Racle Gabriel,,,
611443,Ravel Nadine ,1960.0,,"Docteur en neurosciences (Lyon 1, 1988) (Source DataBNF)"
27800,Courtois Stéphane ,1947.0,,"Historien. - Chargé de recherche au CNRS, Centre d'études d'histoire et de sociologie du communisme, Université Paris X-Nanterre et codirecteur de la revue ""Communisme"" (en 1989) (Source DataBNF)"
28425,Pluet-Despatin Jacqueline,,,Historienne (Source DataBNF)
199529,Abdulkarim Amir,,,"Géographe, secrétaire de rédaction à la ""Revue européenne des migrations internationales"" (en 1996) (Source DataBNF)"
251905,Ohayon Jacob,,,
403224,Hani Elias,,,
33010,Levi Mario,,,
0002241,Morissonneau Christian,,,
0002251,Solem Erik,,,
166929,Veraldi Gabriel,,,
394310,Pillon Thierry,,,
237789,Guillaumont Antoine ,1915.0,2000.0,"Historien, spécialiste des religions de l'Orient ancien. - Professeur au Collège de France (élu en 1977). - Membre de l'Académie des inscriptions et belles-lettres (élu en 1984) (Source DataBNF)"
194379,Winter Guillaume,,,
173865,Zaleski Eugène ,1918.0,2001.0,"Écrit en polonais et en français
Historien. - Spécialiste des économies socialistes. - Directeur de recherche au Centre national de la recherche scientifique, Paris (en 1980). - Éditeur de la ""Revue d'études comparatives Est-Ouest"", publiée par les éd. du CNRS (en 1980) (Source DataBNF)"
584756,Elbhecq Pierre-Joseph du Chambge baron d,1733.0,1793.0,
417213,Prieur Pierre-Louis ,1756.0,1827.0,"Homme politique, député du Tiers État du bailliage de Châlons-sur-Marne aux États Généraux, député de la Marne à la Convention, membre du Comité de Salut public. - Administrateur des hospices civils et du Mont de Piété à partir de 1799. - Banni comme régicide en 1816 (Source DataBNF)"
276645,Brito Emilio ,1942.0,,"Jésuite (à partir de 1961 ; ordonné prêtre en 1972). - Professeur de théologie fondamentale et de philosophie de la religion à l'Université catholique de Louvain, Belgique ( 1983-2007) (Source DataBNF)"
149900,Breton-Jokl Marcelle,,,
269422,Body-Gendrot Sophie ,1942.0,,"Politologue. - Professeur de civilisation américaine à l'Université Paris IV (en 1991). - Rédactrice en chef de la ""Revue française d'études américaines"" (en 1991) (Source DataBNF)"
0002391,de Montclos Marc-Antoine Pérouse,,,
195178,Pribytkova Irina,,,
227887,McCabe Kevin A.,,,
265274,Kayser Bernard ,1926.0,2001.0,"Géographe. - Professeur à l'Université de Toulouse-Le Mirail. - Spécialiste de géographie et de sociologie rurales appliquées à la France et au Tiers-Monde. - Membre fondateur du Centre interdisciplinaire d'études urbaines, Toulouse (Source DataBNF)"
