nom,num_doc,role
35955,859.0,Traducteur
617283,861.0,
280939,862.0,
248479,863.0,
265230,864.0,
279207,865.0,
247173,866.0,
263352,867.0,
395039,868.0,
227538,869.0,
82284,870.0,
72209,872.0,
246919,873.0,
249644,874.0,
30310,876.0,
216890,877.0,
216690,877.0,
216691,877.0,
216891,877.0,
216892,877.0,
246214,878.0,
365243,878.0,
833309,878.0,
726705,879.0,
256498,881.0,
0008811,882.0,
401713,883.0,
173981,886.0,
395459,887.0,
0008871,888.0,
59771,889.0,
11772,889.0,
72574,890.0,
0008901,891.0,
403139,892.0,
24945,893.0,Éditeur intellectuel
0008922,893.0,Éditeur intellectuel
424334,894.0,
151530,896.0,Personne interrogée
283107,896.0,Interviewer
34284,897.0,
271449,899.0,
5713,901.0,
393852,902.0,
145439,903.0,
148790,904.0,
29174,905.0,
33122,905.0,
231933,906.0,
50910,907.0,
150344,909.0,Éditeur intellectuel
281783,910.0,
66785,910.0,Traducteur
223748,911.0,
223749,911.0,
196329,912.0,
269025,914.0,
73351,915.0,
73352,915.0,
73353,915.0,
176945,917.0,
180293,918.0,
173896,918.0,Traducteur
180307,919.0,
173896,919.0,Traducteur
12314,920.0,
12314,921.0,
157318,922.0,
82721,923.0,
72248,924.0,
72248,925.0,
72226,926.0,
47918,927.0,Éditeur intellectuel
30519,928.0,
277094,929.0,
147525,930.0,
233872,933.0,
254165,935.0,
288262,936.0,
250336,937.0,
250353,937.0,
250352,937.0,
222516,938.0,
76429,940.0,
219677,942.0,
396290,942.0,
219677,943.0,
396290,943.0,
396117,943.0,
180154,943.0,
219677,944.0,
396290,944.0,
172565,945.0,
172565,946.0,
202595,946.0,
202596,946.0,
202597,946.0,
172565,947.0,
202595,947.0,
202782,947.0,
202783,947.0,
172565,948.0,
203019,948.0,
203020,948.0,
202595,948.0,
172565,949.0,
203341,949.0,
172565,950.0,
202833,950.0,
298614,951.0,
298614,952.0,
298614,953.0,
399124,954.0,
4205,955.0,
391860,955.0,
247405,955.0,
250614,955.0,
35331,956.0,
36366,957.0,
33010,958.0,
1447,959.0,
31677,960.0,
58571,960.0,
2256,961.0,
3005,962.0,
0009612,962.0,
235501,963.0,
0009622,963.0,
0009631,964.0,Chercheur
81877,964.0,Chef d'équipe de chercheurs
35535,964.0,
46258,964.0,
169867,965.0,
289915,966.0,
31234,967.0,
34926,968.0,
4152,969.0,
226610,970.0,
389801,971.0,Éditeur intellectuel
74692,972.0,
29174,972.0,
245741,973.0,
11656,974.0,
295940,975.0,
32201,976.0,
32201,977.0,
364942,978.0,
285193,979.0,
281972,980.0,
35054,981.0,
51867,982.0,
51684,983.0,
51306,984.0,
27705,985.0,
47918,986.0,
27848,987.0,
26663,988.0,
214603,990.0,
226067,991.0,
226068,991.0,
232609,992.0,
243026,993.0,
227939,994.0,
65797,995.0,
161833,996.0,
231343,997.0,
232854,998.0,
81435,998.0,
232889,999.0,
232034,1000.0,
237336,1001.0,
237371,1002.0,
156927,1003.0,
156372,1004.0,
156460,1005.0,
157388,1006.0,
177561,1007.0,
277228,1008.0,
61508,1009.0,
27800,1010.0,Éditeur intellectuel
30073,1011.0,Éditeur intellectuel
213210,1012.0,
47152,1013.0,
48292,1014.0,
26504,1014.0,Éditeur intellectuel
00010133,1014.0,Autre
46978,1015.0,
47091,1015.0,
46484,1016.0,
46580,1017.0,
47158,1018.0,
47158,1019.0,
404188,1020.0,
35227,1021.0,
173981,1022.0,
47158,1022.0,
47182,1022.0,
46539,1023.0,
72073,1024.0,
46304,1024.0,
24149,1026.0,
46677,1027.0,
399681,1028.0,
00010281,1029.0,
00010282,1029.0,
00010291,1030.0,
00010301,1031.0,
00010311,1032.0,
00010321,1033.0,
00010331,1034.0,
646864,1035.0,
00010351,1036.0,
613956,1037.0,
226008,1038.0,
195185,1039.0,
2497,1040.0,
5886,1044.0,
5886,1045.0,
195185,1046.0,
253442,1046.0,
283062,1050.0,
242247,1051.0,
231879,1053.0,
286401,1054.0,Éditeur intellectuel
52895,1055.0,
268596,1056.0,
257042,1057.0,
646864,1058.0,
33010,1059.0,
149678,1060.0,
33976,1061.0,
48996,1062.0,
146096,1063.0,
00010631,1064.0,Chercheur
